"cand_id","cand_name","cand_pty_affiliation"
"P60009248","WATKINS, RICHARD GREGARY","NNE"
"P60009263","HENRY, RUSSELL R","REP"
"P60009289","COBURN, DAVIN","OTH"
"P60009297","FIRMANI, JAMES PARIS","REP"
"P60009305","HAEN, DAVID M","IND"
"P60009313","MCKEEVER, EAMON","ACE"
"P60009321","CELIAN, JEAN","IDP"
"P60009339","NAPODANO, MICHAEL ANDREW","IND"
"P60009347","DIONISIO, ROBERT MR.","IND"
"P60009354","WEST, WARREN PHILIP","REP"
"P60009362","MEADOWS, NATHAN EVAN","REP"
"P60009370","RUSS, DANA GLEN MR","IND"
"P60009388","STAUFFER, SCOTT WESLEY","REP"
"P60009396","GONG, KEVIN","CRV"
"P60009404","THOMPSON, TROY @NEXCEO MR","IND"
"P60009412","SMITH, DARRYL JOHN MR.","REP"
"P60009420","MASSEY, PADDINGTON VERMON MS.","DEM"
"P60009438","KALINCHEVA, MAGDALINA G DR","REP"
"P60009446","DOUGLAS, DIANA LYNN","REP"
"P60009453","GRIG, DAVID AARON","IND"
"P60009461","FOLLANSBEE, JOHN CHARLES MR","NON"
"P60009479","ARCAYA, RENNY","LRU"
"P60009487","CAT, BUDDY THE","DEM"
"P60009495","EDEN","DEM"
"P60009503","KORB, STEVEN GERARD","IND"
"P60009511","COYNE PHD, THOMAS JOSEPH","REP"
"P60009529","MITCHELL-KING, CHARLES IVAN","IND"
"P60009537","FRANCO, RICHARD ALAN MR.","DEM"
"P60009545","ROOSEVELT, JOHNNY GODDAMN MR","OTH"
"P60009552","HANSON, ROBERT DONALD","REP"
"P60009560","RUBIN, HOWIE","OTH"
"P60009578","MIKLOS, GEORGE D","AIC"
"P60009586","BENN, CHANDLER ASHMUN MR.","IND"
"P60009594","MONTGOMERY, KEVIN J","IND"
"P60009602","BAIRD, DUSTIN ALAN","W"
"P60009610","HAMMON, ANITA","REP"
"P60009628","LEGATE, JAMES WALTER JR","TX"
"P60009636","ALSUP, WILLIAM","IND"
"P60009644","BRIGGS, BRIAN JAMES","IND"
"P60009651","OCKANDER, PATRICK ANTHONY MR.","LIB"
"P60009669","THE ELF, BUDDY","W"
"P60009677","TOLOS, PERRY MR.","NPA"
"P60009685","LESSIG, LAWRENCE","DEM"
"P60009701","MCCOIG, NIKKI","UNK"
"P60009719","HARDIE, MARK CHARLES","DEM"
"P60009727","PEULER, MICHAEL HENRY","IND"
"P60009735","FARNELL, CHRISTOPHER","REP"
"P60009743","MCKENNA, PATRICK REV.","OTH"
"P60009750","OAWLAWOLWADOL, PRINCESS","NNE"
"P60009768","NUNO, ROGELIO","IND"
"P60009776","HOLLOWAY, ROBERT JR","NNE"
"P60009784","COLE, JOHN","IND"
"P60009800","MCKEEN, JEREMY MARC","DEM"
"P60009818","KALINCHEVA, MAGDALINA G DR","REP"
"P60009826","BRICENO, JAIRO I","REP"
"P60009834","ISRAEL, ABRAHAM","REP"
"P60009842","BOARMAN, DAVID DEE","IND"
"P60009859","MESSINA, PETER","REP"
"P60009867","CREWS, RICKY DANIEL","REP"
"P60009875","GIORDANI, ROCKY MR.","IDP"
"P60009883","DOG, BAILEY D.","IND"
"P60009891","SCHWARTZ, GUY DONALD","NON"
"P60009909","MARTIN, ALONZO TABLET SR","REP"
"P60009917","KENISTON, CHRISTOPHER ROBERT MR.","VET"
"P60009925","WILLIAMS, RYAN CHARLES","DEM"
"P60009933","WHITAKER, BOB","OTH"
"P60009941","WALKER, JARED","IND"
"P60009958","ESPINOSA, GEBY E","REP"
"P60009966","SMITH, ROBERT ALLISON JR","IND"
"P60009974","SKETCH, TOM BRADY","W"
"P60009982","GLEESACK, DANE","COM"
"P60009990","LE FEELS, PEPE RARE","IND"
"P60010006","GUTIERREZ, KRISTOPHER JAMES DR.","DEM"
"P60010014","HEYMAN, AARON","NNE"
"P60010022","EDOM, JEREMY LEE MR.","IND"
"P60010030","GILBERTSON, MATTHEW ROBERT MR.","IND"
"P60010048","BAE, ELSA IS","UN"
"P60010055","FINNELL, JACOB MR.","IND"
"P60010063","KUSH, DANK ASS KAPTAIN","IND"
"P60010071","KOONTZ, ASHTEN WILLIAM","IND"
"P60010089","ICE, ELSA QUEEN","IND"
"P60010097","FOR PRESIDENT, ROBERT HAINES","REP"
"P60010105","SMITH, DEVON MICHAEL","LIB"
"P60010113","BUGARSKI, LUKA","DEM"
"P60010121","CINELLO, JOSEPH VINCENT MR.","LIB"
"P60010139","TAGUE, JORDAN","DEM"
"P60010147","MONDA, CHRISTOPHER","DEM"
"P60010154","VAN ALDERWERELT, ADAM","NPA"
"P60010162","UNDERWOOD, FRANCIS J","DEM"
"P60010170","MCLEAN, ANDREW GREGORY","IND"
"P60010188","SCHAFER, SCOTT PRESTON","NPA"
"P60010196","STANG, TIMOTHY JAMES","OTH"
"P60010204","FER, LUCI MRS.","IND"
"P60010212","RODGERS, JOSEPH","NON"
"P60010220","SMITH, SATAN KING","OTH"
"P60010238","NEESE, BRETT REED","IND"
"P60010246","SATAN, KING PRESCOTT","JCN"
"P60010253","SKOVIRA, JOSHUA A","IND"
"P60010261","PRINCE OF DARKNESS, SATAN LORD OF UNDE","REP"
"P60010279","AMEDE, AARON","DEM"
"P60010287","SHELTON, WILLIAM","NNE"
"P60010295","JALLOH, ABU BAKARR MR JR","IND"
"P60010303","HAMLIN, QUINN","IND"
"P60010311","CAPPS, WILLIAM ROBERT JR","IND"
"P60010329","SHUFELT, THEODORE A JR.","LIB"
"P60010337","EDDY, JASON","IND"
"P60010345","CERMAK, ANDREW","IND"
"P60010352","DESCHENES, JESSE","IND"
"P60010360","DARK, DOGE COIN DOGED","UN"
"P60010378","WHEELER, MICHAEL JAMES","NNE"
"P60010386","LONGDICK, TYRONE","IND"
"P60010394","CHOWDER, SOHAN MR.","FSP"
"P60010402","SIMMONS, MICHAEL GENE MR.","REP"
"P60010410","SOTERO, GILBERT MR. JR","IND"
"P60010428","HAYES, RICKY DOUGLAS MR.","IND"
"P60010436","BREN, BMDIG","REP"
"P60010444","SAVVY, SUMMER A MRS.","IND"
"P60010451","WAGNER, JEFFREY ALAN","OTH"
"P60010469","COLEMAN, O'BRIAN MCNEIL","IND"
"P60010477","HOWENSTEIN, RICHARD CAHRLES MR II","LIB"
"P60010485","MARTIN, CATHERINE","IND"
"P60010493","LYNN, CHRISTOPHER","IND"
"P60010519","SURE, NOT MR.","SOC"
"P60010527","POXTIFICATE, CRANTIFFINUS ADRAGUIZES D","COM"
"P60010535","AAA, TRUEPROSNC","REP"
"P60010543","ANCHONDO, HECTOR RUBEN","NPA"
"P60010550","PAPPAS, JOHN ANDREW","OE"
"P60010568","WILLIAMS, BRIAN PIERRE MR.","DEM"
"P60010576","GARGIULO, ANDREW MICHAEL MR.","DEM"
"P60010584","SORRENTINO, MICHAEL","IND"
"P60010600","WIMMER, MARK DAVID MR.","NPA"
"P60010618","CHENYWORTH, TONEY EVERETT","IND"
"P60010626","LANNISTER, TYRION MR.","HOL"
"P60010634","CRATCH, CLYDE OTTIS MR 3RD","IDP"
"P60010642","VAN ORDEN, MAXIMUS","IND"
"P60010659","PICARD, JEAN-LUC","NNE"
"P60010667","LOURNG, VICTOR","IND"
"P60010675","GOODMAN, WILLIAM WOLF III","W"
"P60010683","AKA THE PROPHET AKA EARL, TRIPPYCUP AK","FED"
"P60010691","STUFF, BUTT","IDP"
"P60010709","SANITY, BRINK","REP"
"P60010717","BIZZLE, RANDALL","REP"
"P60010733","MAHER, MAHER","COM"
"P60010741","BAZER, SAM CLARK","DEM"
"P60010758","CARROLL, IAN","IND"
"P60010766","BOIE, JAMISON G","IND"
"P60010774","MULLINS, BAIN","FRE"
"P60010782","FALJEAN, GREGORY ZENNES","OTH"
"P60010790","SARR, ABDOULLAHI AL-HAKIM MR","IND"
"P60010808","PETROVIC, NENAD","IND"
"P60010816","WILLIAMS, DANIEL RAY MR.","IDP"
"P60010824","DONOVAN, NED DAHL MR","FED"
"P60010832","LUTHOR, ALEXANDER JOSEPH","IND"
"P60010840","JORDAN, MICHAEL MR.","IND"
"P60010857","DOVER, BENJAMIN","IND"
"P60010865","ZAJAC, ALEC HENRY MR.","IND"
"P60010873","CANDIDATE, UNDERAGE","NNE"
"P60010881","KESELOWSKI, BRIAN ALLEN MR.","IND"
"P60010899","MARKGRAF, BENJAMIN COLT","LIB"
"P60010915","DOG, VERY ODD","NLP"
"P60010923","TEMPELMEYER, DREW MARSHALL","IND"
"P60010931","MILLER, ALEXANDER","UN"
"P60010949","CRUNCH, CAPTAIN","IND"
"P60010956","RUSSO, MUGSY","IND"
"P60010964","CASTRO RUZ, FIDEL","COM"
"P60010972","DVINANIN, ALEXANDER","IND"
"P60010980","DADDY, CAM SIR","DEM"
"P60011004","EEM, HA GOT MR.","IND"
"P60011012","BALBOA, ROCKY","IND"
"P60011020","HARDING, MATTHEW","UN"
"P60011038","LILLARD, DAVID JAMES DR.","REP"
"P60011046","AVILA, ISABEL GABRIELLA","DEM"
"P60011053","BAXTER, STOUTHEART","DOG"
"P60011087","GORDH, ALEXANDER SOY SAUCE AND TATERS ","NAP"
"P60011095","REAGAN'S GHOST, RONALD MR.","IND"
"P60011103","MACKINTOSH, COLIN","NON"
"P60011111","STEWART, DALVIN MARQUIS","IND"
"P60011129","THOMAS, JOSHUA","UN"
"P60011137","SHUE, NOAH","DEM"
"P60011152","GENDREAU, EVAN","REP"
"P60011160","ROSTRON, ELIJAH DAVID","OTH"
"P60011178","SHADY, SLIM SACK MR.","AMP"
"P60011186","GOKU, FREDERICK LINDSEY LOHAN EMPEROR","IDP"
"P60011194","JOHNSON, AIDAN","DEM"
"P60011202","DAVIS, KLINTON PATRICK","IND"
"P60011210","ANNATAR, SAURON TAR","IND"
"P60011228","BALDWIN, DOUGLAS JOHN MR","NNE"
"P60011236","WITTER, JUSTIN PAUL","CON"
"P60011244","LEDNOVICH, MICHAEL ANTHONY MR.","IND"
"P60011251","WALL, BRIAN MAJOR SR.","W"
"P60011269","JENSEN, IRVING FREDRICK IV","LIB"
"P60011285","SHUNNAR, KATEB NUIR","IDP"
"P60011293","MCCARTHY, JOHN EDWARD MR.","REP"
"P60011301","BREN, BIG","REP"
"P60011319","MCGUIRE, SCOTTIE JR","IND"
"P60011327","KAWAII, SPARKLE LADY","IND"
"P60011335","WILLINGHAM, JOHN WILLIAM","REP"
"P60011343","CURREN, WILLIAM FRANCIS V","COM"
"P60011350","NUTZ, DEEZ W.","OTH"
"P60011368","HAMSTER, LUCILLE","OE"
"P60011376","SAVAGE, DAVID","W"
"P60011384","CROSLEY, PATRICK","IND"
"P60011392","BERGIN, CATHAL","I"
"P60011400","LOCKER, KYLE","CON"
"P60011418","GROVOM, STANLEY ARTHUR","WTP"
"P60011426","NUTS, BOFA DEEZ","IND"
"P60011442","DAWLI, ABOUD J MR.","NPA"
"P60011459","DOLL, NATHANIEL ROBERT","UN"
"P60011467","GARAY, ABRAHAM CARRASCO MR.","IND"
"P60011475","VALDEZ, LANINE","DEM"
"P60011483","FROG, PEPE LE MR.","IND"
"P60011491","MACPHERSON, CLEO WALTER","W"
"P60011509","TURNER, TOMMY","NNE"
"P60011517","BERRY, JOEY","IND"
"P60011525","SLACK, STEVEN JOHN MR","COM"
"P60011533","PUSSY, DIS","DEM"
"P60011541","MARTIN, JOHN DAVID","DEM"
"P60011558","HURT, SAMUEL LEVI RABBI","W"
"P60011566","BLOCKER, BRITTANY G","UN"
"P60011574","SHOWALTER, ALEXANDER","IND"
"P60011582","BORNE, JASON","OTH"
"P60011590","DAHMER, JEFFREY","IDP"
"P60011608","MCKOCKENER, BERRY JO MR.","REP"
"P60011616","MAGOLNICK, MICHAEL","IND"
"P60011624","JANICE, HUGH NICHOLAS MR.","DEM"
"P60011632","ANDERSON, JOHN LESTER MR","POP"
"P60011640","BURNS, SEAN","IND"
"P60011657","JOHNSON, KRYSTAL SHANTRELL MS.","DEM"
"P60011665","ASS, DAT","IND"
"P60011673","FOX, AUSTIN CLAY","AIP"
"P60011681","DUTRA, NORMAN","IND"
"P60011699","SNOW, KYLIE R","PAF"
"P60011707","CLAYTON, MICHAEL EUGENE","IND"
"P60011715","JANE, MARY","LIB"
"P60011723","SIMMONS, ANDREW","CST"
"P60011749","BAKER, JESSE","UNK"
"P60011756","FELICIA, BYE","IND"
"P60011764","KURDZIEL, ANTHONY MR","DEM"
"P60011772","HENKE, ANTHONY","UN"
"P60011780","THOMPSON, CHRISTOPHER LEE MR.","IND"
"P60011798","THORNTON, TYLER ANTHONY MR.","W"
"P60011806","HURLEY, DECLAN MCKOWAN MR. I","IND"
"P60011814","SMOOTH, BILLY D. MR","IND"
"P60011822","HALL, MILES L","OTH"
"P60011830","MYY NIGGA, MYY NIGGA N","NAP"
"P60011848","LITTLE, DAN","IND"
"P60011855","REISBORD, SAMUEL M.","IND"
"P60011863","ICKES, JESUS DOG LORD","W"
"P60011871","ROUSSEAU, THOMAS MR.","IND"
"P60011889","MODE, BEAST","NNE"
"P60011897","BROWN, BRANDI MISS","IND"
"P60011905","DAUB, MICHAEL","NNE"
"P60011913","THOSE, WHAT R.","I"
"P60011921","SALAD, JEWISH JAMES MR.","IND"
"P60011939","STEVENS, ADAM DANGER","UN"
"P60011947","SHIBA, MAME","IND"
"P60011954","FALCO, ALEXANDER JOHN MR.","IND"
"P60011962","LEILI, ADAM DANIEL","REP"
"P60011970","COOKIES, 'MURICAN","DCG"
"P60011988","ZEALOT, COOKIE SIR","NPA"
"P60011996","BROWN, BENNETT JAMES","IND"
"P60012002","SEATTLE SEACHICKENS, SUCK","OTH"
"P60012010","SCHRUTE, DWIGHT","IND"
"P60012028","THE CLOWN, BIPPY","NNE"
"P60012036","CUMMINGS, ROBERT JIMMIE","IND"
"P60012044","GOINS, BRYSON DAVID","IND"
"P60012051","DUKE, DEON LEWIS","OTH"
"P60012069","THOOOOOOSE, WHAT ARE","IND"
"P60012077","ROLLINS, BEN","NPA"
"P60012085","KENOBI, OBI WAN JEDI.","OTH"
"P60012093","BOWMAN, JOSEPH LEE","DEM"
"P60012101","GONZALEZ, JOHNNY R. MR.","OTH"
"P60012119","PALMIERI, LUKE","NNE"
"P60012127","LAPLANTE, RONALD JOHN II","NPA"
"P60012135","BIDEN, JOSEPH ROBINETTEE","DEM"
"P60012143","BIDEN, JOE R","DEM"
"P60012150","TONSING, EDWARD MICHAEL","UN"
"P60012168","KAN, JONAH ABRAHAM","IND"
"P60012176","PRUE, REECE","IDP"
"P60012184","BALLSACK, DONALD TRUMP'S HAIRY KING","UST"
"P60012192","VAYNBLAT, SAMUEL R MR","GRE"
"P60012200","STEINHORN, JASON SCOTT MR.","IND"
"P60012218","STRICKLAND, TIMMY WAYNE","REP"
"P60012226","NIPPERT, BRIAN","IND"
"P60012234","JOHNSON, JOHN FITZGERALD MR.","IND"
"P60012242","EDWARDS., JASEN LEMAR EX.","UNK"
"P60012259","DE GATTO, VENUS BELLA MS.","PFP"
"P60012267","PARADISE, CHRISTOPHER JOHN SENIOR","REP"
"P60012275","WOW, DOGE","UNK"
"P60012283","PAUL, JEFF","HSA"
"P60012291","COX, AUSTIN","DEM"
"P60012309","GLOVER, DONALD","NON"
"P60012317","LAWSON, PATRICK STEVEN JR","IND"
"P60012325","PRESTE, PAUL GEORGE","DEM"
"P60012333","CLINTON, BILL","DFL"
"P60012341","TRIAD, CHANG GANG","COM"
"P60012358","FALKENRATH, CHRISTOPHER JAMES","W"
"P60012366","HANNURABI, HEAVEN","IND"
"P60012374","FRIZZO, CHRISTOPHER KRISHNA","OTH"
"P60012382","HENWOOD, DOUGLAS FRANCIS","IND"
"P60012390","CARTEE, JAMES R. REV. JR.","DBP"
"P60012408","NEURO, XAVIER G.","DEM"
"P60012416","FLASH, ZAKK DR.","OTH"
"P60012424","TORO, DAVID JOSEPH MR.","IND"
"P60012432","PANTS, CRANKY","IND"
"P60012440","SHACKLEFORD, RUSTY MR.","IND"
"P60012457","LYNCH, MARSHAWN","PAF"
"P60012465","BIDEN, JR., JOSEPH R.","DEM"
"P60012473","PERICOLO, ANTHONY AMERIGO MR.","REP"
"P60012481","WILSON, JAMES GRAHAM DR.","W"
"P60012499","WOOKAS, MISTER","W"
"P60012507","FRENCH, JUDITH ALLISON","NON"
"P60012515","PAWTER OF GRYFFINDOR, HAIRY JAY-MZ MC","I"
"P60012523","POTTER, HARRY THE MLG WIZARD ULTRA-MC ","CMD"
"P60012531","BASELTON, PAISLEY BAYWEAF MS.","IND"
"P60012549","RIESENBECK, KYLE REV.","IND"
"P60012556","HOLLIDAY, DANA ALLISON MS","W"
"P60012564","DOYLE, SHERBRONY SHERBY","IND"
"P60012572","DURHAM, NATHAN","COM"
"P60012580","MINI SCHNAUZER, REMO CUTEST DOG EVER","DOG"
"P60012598","CATRINA, JASON ANTHONY","IND"
"P60012614","REGIS, JOSE","VET"
"P60012622","DIRWELL, TAZ","RTL"
"P60012630","SHUTT, ZACHARY DEREESE","DEM"
"P60012648","SNEMIS, JACOB ALEXANDER","AKI"
"P60012655","TOLMACH, ROBERT","IND"
"P60012663","ERB, TOM C.","IND"
"P60012671","DURBY, TRACY ANNE","IND"
"P60012689","HURD, CHRISTOPHER ROBERT","IND"
"P60012697","CHUNG, ANDREW HEARTDOC","IND"
"P60012705","CHICKEN, FROSTY","IND"
"P60012713","WOLFCHILD, REBECCA MRS.","DEM"
"P60012721","CLARKSON, JEREMY CHARLES ROBERT PRESID","NPA"
"P60012739","MARTIN, ERIC BROOK MR","W"
"P60012747","PARKS, DANIEL KITTREDGE","PAF"
"P60012754","TESENY, PAUL ANTHONY MR","IND"
"P60012762","LIBBY, JAMES A.","IDP"
"P60012770","MAXWELL, KENNY MAI BALLZ MR","REP"
"P60012788","BANNERMAN, JOSEPH","IND"
"P60012796","WARREN, ELIZABETH ANN","DEM"
"P60012804","MOREAU, CHRISTOPHER ANDREW MR.","IND"
"P60012812","DOLT, CAMERON MICHAEL","COM"
"P60012820","ROBINSON, JACOB ANDREW","W"
"P60012838","ABDULHAMID, AMMAR","IND"
"P60012846","GUMP, FORREST","DEM"
"P60012853","SPIKEY, PORCUPINES R. MR. JR.","AIP"
"P60012861","SOFFER, YASH PAL","NNE"
"P60012879","MASSIVE, JAYNUS HUGH","OTH"
"P60012887","ELDER, MICHAEL DAVID","OTH"
"P60012895","YEO, BRECKEN","IND"
"P60012903","HOD, BEN C. DR.","IND"
"P60012911","ANNA, SANTA MR. THE III","REP"
"P60012929","TOSH, DANIEL DWIGHT SIR","COM"
"P60012937","PARKER, DAVID","NNE"
"P60012945","TURTON, KYLE FLUFFY","IND"
"P60012952","KUMRO, CHRISTOPHER EVERETT","IND"
"P60012960","SKEWES, PETER ALAN PH.D.","AMP"
"P60012978","THE PUPPET, ZIBBLE","NPA"
"P60012986","COLEMAN, RONALD W","LIB"
"P60012994","MCCLANAHAN`, TIMOTHY W","PRO"
"P60013018","PADGETT, DEVON DEEZ NUTZ","REP"
"P60013026","VOCAL, PAVEL MR.","UNK"
"P60013034","FRAZEE, PHILIP","IND"
"P60013042","GUY, BLUE HAIR","IND"
"P60013059","OSTROM, DAVID BRADY","REP"
"P60013067","VILLOPOTO, MICHAEL","IND"
"P60013075","MILLS, JESSI LYNN","REP"
"P60013083","ISAAK, RICK","IND"
"P60013091","COCO, AUSTIN BASIL","LIB"
"P60013109","CHROBOCINSKI, TYLER JAMES","IND"
"P60013117","GOTTFRIED, MATTHEW RYAN MR.","REP"
"P60013125","SMERKOL, SAMUEL JOHN MR. JR.","UN"
"P60013133","ROBBINS, DAVID MICHAEL","PPY"
"P60013141","HU, TAIGE","IND"
"P60013158","DANIELSON, STENTOR","OTH"
"P60013166","EDMONDSON, JEB","OTH"
"P60013174","HU, TIGER","IND"
"P60013182","FERNANDEZ, DANIEL","UN"
"P60013190","TAYLOR, TROY EMERY","REP"
"P60013208","HARMER, WILLIAM JOESEPH MR.","SUS"
"P60013216","ME, HAVE SEX WITH","UN"
"P60013224","LYNAH, CAMERON THOMAS","W"
"P60013232","MOONEY, JOHN MR,","IND"
"P60013240","LMAO, AYYY","COM"
"P60013257","YAMAMOTO, BRANT","COM"
"P60013265","TRUMP, SELAM MRS.","IDP"
"P60013273","RACEBAITER, IM A SE?OR ESQ","GWP"
"P60013281","SHERRIL, PETER W.","REP"
"P60013299","PIRTLE, WILLIAM ANDREW","IND"
"P60013307","PETE, SNEAKY MR","IND"
"P60013315","QURAISHI, AMMAD UDDIN","NPA"
"P60013331","DENTON, BRYAN","REP"
"P60013349","JOHNSON, ERIC PAUL","DEM"
"P60013356","DAVIS, ERVIN ANTHONY MR","IND"
"P60013364","CRISP, CALEB ALLEN LORD","REP"
"P60013372","GROVES, JAMES RYAN","IDP"
"P60013380","BIN LIFTIN, OSAMA","UN"
"P60013398","DIETRICH, GRAYSON DEAN","DEM"
"P60013406","DRAY, JON PRESCOTT","REP"
"P60013414","CROSS, ALEX LLOYD","IND"
"P60013422","CATS, SEYMOUR","IND"
"P60013430","CHOLLETT, RICKY LEE","REP"
"P60013448","POTTER, ARTHUR (ART) JOHN IV","REP"
"P60013455","DRAKE, BRIAN PADRICK MR","OTH"
"P60013463","COOPER, LUKE ROBERT THOMAS","IND"
"P60013471","EXLEY, JOHN SBB DOCTOR","HRP"
"P60013489","CARTMAN, ERIC","IND"
"P60013497","UN, KIM JONG","IND"
"P60013505","DUFFY, COLMAN JOSEPH MR","DEM"
"P60013513","HUTCHINSON, MATTHEW","UN"
"P60013521","MENZIE, BRETT","W"
"P60013539","GOODMEME, JOHNNY","IDP"
"P60013547","PEPE, RAREST","UNK"
"P60013554","LEAHY, BRENNEN MICHAEL","FRE"
"P60013562","YANCEY, ITAI GEORDAE MR.","IDP"
"P60013570","DICK, TIPA DIS","IND"
"P60013588","BRADY, KRISTYNA","REP"
"P60013596","THE SAVAGE, WALT","IND"
"P60013604","MANIS, ROBERT","IDP"
"P60013612","ROHDE, BRANDON CLARK","IND"
"P60013620","HOWARD, CHELENIE","OTH"
"P60013638","ERICKSON, KEITH","UN"
"P60013646","ALLEN, NICHOLAS ADAMS","OTH"
"P60013653","RICH, RANDY CLYDE","IND"
"P60013661","BROWN, MARK ALAN","NPA"
"P60013679","PICCOLA, FRANK CARL","NPA"
"P60013687","STEHM, DANIEL","REP"
"P60013695","TROLLS, WHY SO MANY","IND"
"P60013703","WISCHMEYER, SCOTT EDWARD","PRO"
"P60013711","SWANSON, PARKER AKA P-SWANEY","COM"
"P60013729","GELADE, CHRONO","IND"
"P60013737","NUTS, CEEDEEZ","IND"
"P60013745","BALDWIN, DUSTI","CRV"
"P60013752","LEE, ALEXANDER","IND"
"P60013760","GOULD, MARCUS LEWIS","DEM"
"P60013778","CHILDS-O'DOWD, LOUIS ANTHONY MR,","IND"
"P60013786","STONER, MEGAN","REP"
"P60013794","A WANDRLUSTR, DOT COM","NAP"
"P60013802","WOZNIAK, MARIO FRANCIS","DEM"
"P60013810","DAD, SOUTHERN","NNE"
"P60013828","DOG, MOOSE THE","JCN"
"P60013836","POUND, DICK YOUR MOM","RTL"
"P60013844","VAINIK, HUNTER OLIVER","COM"
"P60013851","ISHERE, SECURITY XAT BIGBOY","IND"
"P60013869","DURRITOS, JARRITOS","IND"
"P60013877","CARLTON, ZEDEKIAH ALEXANDER","DEM"
"P60013885","CARROLL, GARRETT ALAN","IND"
"P60013893","GASTROCK, JARED MICHAEL DR.","W"
"P60013901","LAPAN, KASEY RYAN","REP"
"P60013919","NORTHUP, PETER MR. II","REP"
"P60013927","FSOCIETY, FSOCIETY FSOCIETY FS FS","RUP"
"P60013935","CUEVAS, NICK","REP"
"P60013943","HAAG, JOSHUA","AIP"
"P60013950","BILLSHOT, ELWOOD KIRK D MR. BAILEY","IAP"
"P60013968","STEF, MEL","IND"
"P60013976","MCGHEE, ROBERT MR.","REP"
"P60013984","AMOROSO, JACOB PATRICK MR.","GRE"
"P60013992","ADDVENSKY, MICHAEL EDWARD","REP"
"P60014008","COWSER, MICHAEL","OTH"
"P60014016","WANG, AVIVA","DEM"
"P60014024","SHEWBERT, DUSTIN RYAN MR SR","REP"
"P60014032","MOUSE, MICKEY","W"
"P60014040","BOB, AMBIGUOUS VII","UN"
"P60014057","WILSON, RYAN","NPA"
"P60014065","FERRISS, JAMES HENRY DANEKER","REP"
"P60014073","KOST I, ERIC ALBERT DAVID","REP"
"P60014081","SHANLEY, BRIAN JAMES","REP"
"P60014099","SCHATZ, BRENT THORN","IND"
"P60014107","JAMES, TOBUSCUS","DEM"
"P60014115","EVANS, KEVIN","W"
"P60014123","HOES, BROS BEFORE","IND"
"P60014131","UNTERKOEFLER, DYLAN MR.","IND"
"P60014149","BOSCHMA, BRADLEY JERROLD","DEM"
"P60014156","SHANNON-REASONER, BARRY SUNSHINE","NPA"
"P60014164","GUY, CAPE","AKI"
"P60014172","DERBY, MATTHEW MR.","IND"
"P60014180","BUSH, JORGE","IND"
"P60014198","SMITH, RYAN","IDP"
"P60014206","POWELL, JOHN MARC","NNE"
"P60014214","MITCHELL, EMILY","IND"
"P60014222","TAUBE, DERICK DEAN","W"
"P60014230","FAKE, THIS IS","REP"
"P60014255","DUFFY, HUNTER","IND"
"P60014263","ALLEN, BENJAMIN","IND"
"P60014271","HIP HOP FOR PRESIDENT","DEM"
"P60014289","COOPER, MATTHEW JAMES","REP"
"P60014297","MCMENAMIN, DAVID A","LIB"
"P60014305","BRANDENBURG, JUSTIN MICHAEL","IND"
"P60014313","HICKMAN, DAVID P. MR.","IND"
"P60014321","LENTS, BRAYDYN GIOVANNI","REP"
"P60014339","DUBS, DUB-","IND"
"P60014347","RAMIREZ, JAMES ANDREW MR.","LBL"
"P60014354","KNOWLES, BEYONC? GISELLE","NNE"
"P60014362","MINAJ, NICKI","NNE"
"P60014370","LUTOSTANSKI, JEFF MR.","IND"
"P60014388","CLARK, WILLIAM","LIB"
"P60014396","COMLEY, STEPHEN BRADLEY SR","REP"
"P60014404","BLANKA, PINAR VOM","LIB"
"P60014412","CAMPOS, ALLEN EUGENE","DEM"
"P60014420","WHY NOT ZOIDBURG","OTH"
"P60014438","MOBLEY, BYRON RUSSELL MR","IND"
"P60014446","AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA, AAAAAA","DEM"
"P60014453","ADAMS, THOMAS ALAN MR","IND"
"P60014461","ABLEIDINGER, PHILL ALEXANDER","DEM"
"P60014479","BORAY, GIRIDHAR K DR","IND"
"P60014487","MATTINGLY, BRANDON","UNK"
"P60014495","EMERY, JARED ALAN 'FLASH'","DEM"
"P60014503","COBURN, TANNER L","DEM"
"P60014511","CRISPY, JA'","IND"
"P60014529","SPRUYT, JAMES ANDREW MR","IND"
"P60014537","WALKER, DAVID ROCKSTAR","REP"
"P60014545","COOK, ERIC THOMAS","IND"
"P60014552","RUCKER, AARON DWAYNE","NNE"
"P60014578","HEMAUER, RYAN B","DFL"
"P60014586","COOPER, DERRICK WADELL","APF"
"P60014594","NORTHCUTT, GREEN","LIB"
"P60014602","LIGHTNING, WHITE","GAD"
"P60014610","MCAVERAGE, NORMAL","IDP"
"P60014628","FALDRAGA, SAMUEL","IND"
"P60014636","GALLO, JEFF","IND"
"P60014644","MENGES, RYAN M. SIR","WA"
"P60014651","NARNIA, COCO","IND"
"P60014669","DOG, SAMMY BJ","IND"
"P60014677","BEZEK, CHRISTIAN","IAP"
"P60014693","PEPPER, DOCTOR","AIP"
"P60014701","HUGGINS, ANDREW NOBLE","NNE"
"P60014727","EVERDEEN, KATNISS MS.","IND"
"P60014735","MARTIN, ANDREW NOMORECPD","UNK"
"P60014743","FRIEZA, LORD","IND"
"P60014750","MINIX, ROBBY JAMES","IND"
"P60014768","PAYAN, JESUS JR.","DEM"
