"cand_id","cand_name","cand_pty_affiliation"
"P60005014","BRALICH, PHILIP A","DEM"
"P60005022","DILLON, STEVE ALLEN","UNK"
"P60005030","CINTRON, DORIS","OTH"
"P60005048","JOHNSON, BARRY L","IND"
"P60005055","STEINBERG, MICHAEL ALAN","DEM"
"P60005063","SCHWARTZ, JOHN GRAHAM","UNK"
"P60005071","HUBBELL, MICHAEL WAYNE","IND"
"P60005089","LEONARD, JERRY L","REP"
"P60005097","SEWELL, JAMES MCCORD III MRS","IND"
"P60005105","DUTTER, MARK JOSEPH","IND"
"P60005113","SOPKOVICH, NICHOLAS ALEXANDER","DEM"
"P60005121","ALLEN-REESE, POGO MOCHELLO","REP"
"P60005139","WILLEY, TODD WADE","OTH"
"P60005147","CAMPBELL, JOHNNIE C","NNE"
"P60005154","CLARK, BRITTANY LAUREN","DEM"
"P60005162","DEBOW, MR PAUL W","REP"
"P60005170","SCHIESS, JOHN T","REP"
"P60005188","CANNADAY, PAUL BENJAMIN-DIELMAN","IND"
"P60005196","WALKER, DORIS V","UNK"
"P60005204","WILLIAMS, ELAINE WHIGHAM","DEM"
"P60005212","DUTTON, KRISTI FREELAND","DEM"
"P60005220","MULLIKIN, TONY","NNE"
"P60005238","MCCALL, ANGIE","NNE"
"P60005246","BORRELL, ERIC JAMES","IND"
"P60005253","LOWER, BARTHOLOMEW JAMES MR.","LIB"
"P60005261","JUSTICE, BRENDA DAWN","REP"
"P60005279","BOWERS, KERRY DALE","REP"
"P60005287","LAW, JAMES T","NNE"
"P60005295","CONGER, AMY","NNE"
"P60005303","FOX, CHERUNDA LYNN","IND"
"P60005311","TARLOW, ZACHARY","UNK"
"P60005329","WILLS, KRYSTIN ALEXIS","DEM"
"P60005337","RONDEAU, DON LARANCE","IND"
"P60005345","SHERMAN, JEFFERSON WOODSON","REP"
"P60005352","FARBER, STUART ROSS","REP"
"P60005360","OWENS, DANIEL ROBERT","DEM"
"P60005378","MCKART, PATRICK STEPHEN","OTH"
"P60005386","MACKIMZEY, DEBORAH MAE","IND"
"P60005394","MEI, RUBY","IND"
"P60005402","ARMSTRONG, BRANDON CHRISTINA","DEM"
"P60005410","MARKOVICH, BARBARA MAE ADAMS","REP"
"P60005428","BAKER, EDWARD LANE","NNE"
"P60005436","KINSEY, RONALD LOUIS","OTH"
"P60005444","MENIER, THOMAS KENT SR","IND"
"P60005451","COLE, SCOTT MICHAEL","REP"
"P60005469","SMITH, KEITH",""
"P60005477","RAVISHANKER, DINESH","OTH"
"P60005485","TAYLOR, DEACON NEWELL","IND"
"P60005493","SMITH, SCOTT ANDREW","IND"
"P60005501","CHRISTENSEN, DALE H","REP"
"P60005519","PAVILACK, HARRY","DEM"
"P60005527","KUFFEL, ROBERT ELLERY","LIB"
"P60005535","EMRIT, RONALD SATISH","DEM"
"P60005543","ALDRIDGE, ROBERT FRANK","IND"
"P60005550","BOLAR, SHELIA MARIAH","IND"
"P60005568","WOOD, JOHN JOSEPH","NNE"
"P60005576","USERA, JOSHUA DAVID","IND"
"P60005584","HODGE, CHARLES JUNIOR","DEM"
"P60005592","ANDREWS, CHARLES PERRY III","REP"
"P60005600","TYLER, MATHEW LEE","IND"
"P60005618","BLASS, PIOTR DR","NNE"
"P60005626","PETYO, MICHAEL EDWARD","REP"
"P60005634","PETER, RICHARD","REP"
"P60005642","BONPASSE, MORRISON MCKELVY","DEM"
"P60005659","ARAYLE, NICOLE LYNN","IND"
"P60005667","LUNDE, BARBARA JEAN","NNE"
"P60005675","DAVIDSON, MARGARET M","OTH"
"P60005683","CAFFREY, ANDREW AUGUSTINE IV","DEM"
"P60005691","OLEWINE, SCOT GRANT","REP"
"P60005717","LEWIS JR, JULIAN BISHOP","IND"
"P60005725","FELDMAN, MARC ALLAN","LIB"
"P60005733","SHO, MUHAMMAD","UNK"
"P60005741","ABERNATHY, CHRISTOPHER SCOTT","UNK"
"P60005758","HILL, PHILLIP KENNETH SR","IND"
"P60005766","BUSH, WILLITA D","GRE"
"P60005774","SCARBOROUGH, LARRY D","UNK"
"P60005782","DUKE, RONALD","REP"
"P60005790","SPEARS, ALAN ERROL ESQ.","AIP"
"P60005808","KAHN, LYNN SANDRA","IND"
"P60005816","HORN, CHRISTOPHER DARREN MR.","NPA"
"P60005824","PRUITT, WILLIAM JASON MR.","LIB"
"P60005832","REEDY, DARWIN MISHA ROSE","IND"
"P60005840","ABBOTT, GIFFORD WHEELER JR","IND"
"P60005857","HYDE, JUSTIN NICHOLAS MR.","REP"
